date,baseline_value,selection1_value,selection2_value,adx,regime
2022-09-14 09:00:00,1697554.4585071043,1452926.9542592552,1697554.4585071043,24.539769634460086,bull
2022-09-15 09:00:00,1679421.995235854,1434698.7339900779,1679421.995235854,23.136540481832697,sideways
2022-09-16 09:00:00,1671660.3218832507,1433839.8641155337,1671660.3218832507,22.155667128085508,sideways
2022-09-17 09:00:00,1752682.6476479988,1503335.4662088903,1752682.6476479988,21.022616744578542,sideways
2022-09-18 09:00:00,1649563.3239474103,1414886.5180900728,1649563.3239474103,20.590212884057458,sideways
2022-09-19 09:00:00,1603896.1948800068,1375716.2696374534,1603896.1948800068,21.084761002520175,sideways
2022-09-20 09:00:00,1519959.5230427363,1303720.933882952,1519959.5230427363,21.54398423224738,sideways
2022-09-21 09:00:00,1456368.8667596849,1248873.2230317467,1456368.8667596849,22.270796584344307,sideways
2022-09-22 09:00:00,1681038.609039444,1397700.1238358533,1681038.609039444,22.945693739122724,sideways
2022-09-23 09:00:00,1730410.9709949428,1429233.2755120995,1730410.9709949428,23.425936632925108,sideways
2022-09-24 09:00:00,1680043.3811475951,1399794.317310411,1680043.3811475951,23.87187644618476,sideways
2022-09-25 09:00:00,1655312.8427888916,1381193.5271862396,1655312.8427888916,24.471321203717913,sideways
2022-09-26 09:00:00,1643782.4446422798,1344040.3716595066,1643782.4446422798,24.5608824850052,sideways
2022-09-27 09:00:00,1610869.9122871233,1314043.6303832012,1610869.9122871233,22.989329544776975,sideways
2022-09-28 09:00:00,1602197.2527496985,1308537.67737785,1602197.2527496985,21.570336346526155,sideways
2022-09-29 09:00:00,1606344.5261007722,1315173.3341445946,1606344.5261007722,20.25269983935795,sideways
2022-09-30 09:00:00,1591414.3420369066,1273147.507955212,1591414.3420369066,19.347800573191286,sideways
2022-10-01 09:00:00,1582290.3406645441,1245498.9380937759,1582290.3406645441,18.507536987624416,sideways
2022-10-02 09:00:00,1564215.1153295352,1207857.0487015562,1564215.1153295352,17.451397293335305,sideways
2022-10-03 09:00:00,1581917.4319955946,1202947.5399760944,1581917.4319955946,17.02230129553476,sideways
2022-10-04 09:00:00,1636592.8664368035,1211946.6595915789,1636592.8664368035,17.447262514277547,sideways
2022-10-05 09:00:00,1642550.9263661287,1219938.1939153187,1642550.9263661287,17.84186935371318,sideways
2022-10-06 09:00:00,1629352.433567665,1209663.8897228984,1629352.433567665,18.149664751909068,sideways
2022-10-07 09:00:00,1607401.081554334,1197968.1258567786,1607401.081554334,17.35837534128217,sideways
2022-10-08 09:00:00,1591258.7871689382,1181795.9957696078,1591258.7871689382,16.52595061675429,sideways
2022-10-09 09:00:00,1600819.5033485002,1192793.8594175011,1600819.5033485002,15.752984810645327,sideways
2022-10-10 09:00:00,1551255.9999565848,1149503.23877913,1551993.196725029,14.673453260421255,sideways
2022-10-11 09:00:00,1509785.9532226748,1130634.9750527497,1551993.196725029,14.04759678282424,sideways
2022-10-12 09:00:00,1512702.5182685489,1124738.6426382558,1551993.196725029,13.466444345074509,sideways
2022-10-13 09:00:00,1485252.3143625387,1087002.1151854955,1551993.196725029,14.18686506631804,sideways
2022-10-14 09:00:00,1488330.7786624306,1078902.581998239,1551993.196725029,13.964029170479986,sideways
